is_approximate_match,is_synonym,matched_name,nomenclature_code,score,search_string,taxon.flags,taxon.is_suppressed,taxon.is_suppressed_from_synth,taxon.name,taxon.ott_id,taxon.rank,taxon.source,taxon.synonyms,taxon.tax_sources,taxon.unique_name
False,False,Arion,ICZN,1.0,arion,[],False,False,Arion,661122,genus,ott3.6draft1,"['Ario', 'Aroni', 'Baudonia', 'Carinella', 'Lochea', 'Macroarion', 'Microarion', 'Prolepis', 'Riyearon', 'Tetraspis']","['worms:818149', 'ncbi:6542', 'gbif:2294092', 'irmng:1420165']",Arion
False,False,Solanum tuberosum,ICN,1.0,solanum tuberosum,['sibling_higher'],False,False,Solanum tuberosum,494835,species,ott3.6draft1,"['Solanum chocclo', 'Solanum multijugum', 'Solanum tuberosum subsp. tuberosum']","['ncbi:4113', 'gbif:2930262', 'irmng:10202886']",Solanum tuberosum
False,True,Solanum tuberosum,ICN,1.0,solanum tuberosum,['sibling_higher'],False,False,Solanum etuberosum,661308,species,ott3.6draft1,"['Solanum bustillosii', 'Solanum etuberosum antucense', 'Solanum etuberosum bustillosii', 'Solanum etuberosum chillanense', 'Solanum kunzei', 'Solanum looseri', 'Solanum subandinum', 'Solanum tuberosum', 'Solanum tuberosum polemoniifolium']","['ncbi:200525', 'gbif:2930259']",Solanum etuberosum
False,True,Solanum tuberosum,ICN,1.0,solanum tuberosum,['sibling_higher'],False,False,Solanum maglia,598927,species,ott3.6draft1,"['Solanum collinum', 'Solanum commersonii glabriusculum', 'Solanum foncki', 'Solanum maglia brevifrons', 'Solanum maglia collinum', 'Solanum maglia witasekianum', 'Solanum tuberosum', 'Solanum tuberosum maglia']","['ncbi:172791', 'gbif:2931694']",Solanum maglia
False,False,Poaceae,ICN,1.0,poaceae,[],False,False,Poaceae,508090,family,ott3.6draft1,"['Aegilopaceae', 'Agrostidaceae', 'Alopecuraceae', 'Andropogonaceae', 'Anomochloaceae', 'Anthoxanthaceae', 'Arundinaceae', 'Arundinellaceae', 'Asperellaceae', 'Avenaceae', 'Bambusaceae', 'Cenchrinaceae', 'Chaeturaceae', 'Chloridaceae', 'Coleanthaceae', 'Cynodontaceae', 'Cynosuraceae', 'Echinariaceae', 'Ehrhartaceae', 'Eragrostidaceae', 'Festucaceae', 'Glyceriaceae', 'Gramineae', 'Hordeaceae', 'Lepturaceae', 'Miliaceae', 'Ophiuraceae', 'Oryzaceae', 'Panicaceae', 'Pappophoraceae', 'Parianaceae', 'Paspalaceae', 'Phalaridaceae', 'Pharaceae', 'Sporobolaceae', 'Stipaceae', 'Streptochaetaceae', 'Triticaceae', 'Zoysiaceae']","['ncbi:4479', 'worms:234036', 'gbif:3073', 'irmng:114385']",Poaceae
True,False,Nana,ICZN,0.75,nan,['sibling_higher'],False,False,Tritia,162242,genus,ott3.6draft1,"['Amycla', 'Amyclina', 'Cencus', 'Cryptonassarius', 'Cyclocyrtia', 'Cyclonassa', 'Cyclope', 'Cyclops', 'Fackia', 'Gussonea', 'Hima', 'Hinia', 'Ilyanassa', 'Mirua', 'Nana', 'Nanina', 'Nannia', 'Naytiopsis', 'Neritula', 'Panormella', 'Parcanassa', 'Proneritula', 'Sphaeronassa', 'Tarazeuxis', 'Telasco', 'Tritonella', 'Utiza', 'Uzita']","['worms:246140', 'ncbi:1912890', 'gbif:3243475', 'gbif:4368236', 'irmng:1450419', 'irmng:1369417', 'irmng:1204732']",Tritia
True,False,Nat,ICZN,0.6666666865348816,nan,"['hidden', 'barren', 'sibling_higher']",True,True,Nat,4616842,genus,ott3.6draft1,[],['irmng:1271313'],Nat
False,False,Triticum aestivum,ICN,1.0,triticum aestivum,[],False,False,Triticum aestivum,31926,species,ott3.6draft1,"['Triticum aestivum subsp. aestivum', 'Triticum aestivum vulgare', 'Triticum amplissimum', 'Triticum aristatum', 'Triticum aristatum aestivum', 'Triticum cereale aestivum', 'Triticum estivum', 'Triticum hybernum', 'Triticum macha', 'Triticum sativum', 'Triticum sativum aestivum', 'Triticum sativum sinense', 'Triticum sativum vulgare', 'Triticum sphaerococcum', 'Triticum touzelle', 'Triticum vulgare', 'Triticum vulgare aestivum', 'Triticum vulgare aristatum', 'Triticum vulgare sativum']","['ncbi:4565', 'gbif:7541363', 'gbif:7795888', 'irmng:11133543']",Triticum aestivum
False,False,Papaver,ICN,1.0,papaver,[],False,False,Papaver,438123,genus,ott3.6draft1,[],"['ncbi:3468', 'gbif:2888431', 'irmng:1019682']",Papaver
False,False,Euphorbia,ICN,1.0,euphorbia,[],False,False,Euphorbia,109494,genus,ott3.6draft1,"['Ademo', 'Adenopetalum', 'Adenorima', 'Aemaralmeida', 'Agaloma', 'Aklema', 'Alectoroctonum', 'Allobia', 'Anisophyllum', 'Anthacantha', 'Aplarina', 'Arthrothamnus', 'Athymalus', 'Bojeria', 'Ceraselma', 'Chamaesyce', 'Characias', 'Chylogala', 'Crepidaria', 'Ctenadena', 'Cubanthus', 'Cyathophora', 'Cystidospermum', 'Dactylanthes', 'Dematra', 'Desmonema', 'Diadenaria', 'Dichrophyllum', 'Dichylium', 'Diplocyathium', 'Ditrita', 'Ditritea', 'Ditritra', 'Elaeophorbia', 'Endadenium', 'Endoisila', 'Epurga', 'Esula', 'Euforbia', 'Eumecanthus', 'Euphorbi', 'Euphorbiastrum', 'Euphorbiodendron', 'Euphorbion', 'Euphorbiopsis', 'Euphorbium', 'Galarhoeus', 'Galorhoeus', 'Hexadenia', 'Kanopikon', 'Keraselma', 'Kobiosis', 'Lacanthis', 'Lathyris', 'Lepadena', 'Leptopus', 'Lophobios', 'Lortia', 'Lyciopsis', 'Medusea', 'Monadenium', 'Murtekias', 'Nisomenes', 'Ossifraga', 'Peccana', 'Pedilanthus', 'Petalandra', 'Pleuradena', 'Poinsettia', 'Pythius', 'Sclerocyathium', 'Stenadenium', 'Sterigmanthe', 'Synadenium', 'Tirucalia', 'Tirucallia', 'Tithymalodes', 'Tithymaloides', 'Tithymalopsis', 'Tithymalus', 'Torfasadis', 'Torfasidis', 'Treisia', 'Tricherostigma', 'Trichosterigma', 'Tumalis', 'Vallaris', 'Ventenatia', 'Xamesike', 'Zalitea', 'Zygophyllidium']","['ncbi:3990', 'worms:246823', 'gbif:3063749', 'irmng:1323584', 'irmng:1075345', 'irmng:1081289', 'irmng:1078727', 'irmng:1339378', 'irmng:1275700', 'irmng:1099829']",Euphorbia
False,False,Notiophilus,ICZN,1.0,notiophilus,[],False,False,Notiophilus,9996,genus,ott3.6draft1,"['Latviaphilus', 'Makarovius', 'Natiophilus', 'Nothiophilus', 'Othiophilus']","['ncbi:41307', 'worms:426326', 'gbif:1247492', 'irmng:1298608']",Notiophilus
False,True,Notiophilus,ICZN,1.0,notiophilus,[],False,False,Notiodes,4605081,genus,ott3.6draft1,"['Endalus', 'Endatus', 'Eudalus', 'Notionomus', 'Notiophilus']","['ncbi:1514656', 'gbif:1247812', 'irmng:1410070']",Notiodes
False,True,Angiospermae,ICN,1.0,angiospermae,['sibling_higher'],False,False,Magnoliopsida,99252,class,ott3.6draft1,"['Angiospermae', 'Magnoliophyta']","['ncbi:3398', 'worms:182757', 'gbif:220', 'irmng:1102']",Magnoliopsida
False,False,Veronica hederifolia,ICN,1.0,veronica hederifolia,[],False,False,Veronica hederifolia,502001,species,ott3.6draft1,['Veronica hederaefolia'],"['ncbi:202477', 'gbif:8894657', 'gbif:3172070', 'irmng:11349054']",Veronica hederifolia
False,False,Capsella bursa-pastoris,ICN,1.0,capsella bursa-pastoris,[],False,False,Capsella bursa-pastoris,833644,species,ott3.6draft1,"['? alandica', '? belgica', '? segetum', '? viminalis', 'Bursa alpestris', 'Bursa bursa-pastoris', 'Bursa bursa-pastoris bifida', 'Bursa djurdjurae', 'Bursa djurjurae', 'Bursa fracticruris', 'Bursa gracilis', 'Bursa grandiflora', 'Bursa nana', 'Bursa occidentalis', 'Bursa orientalis', 'Bursa pastoris', 'Bursa penarthae', 'Bursa rubella', 'Bursa tuscaloosae', 'Bursa viguieri', 'Capsella agrestis', 'Capsella alpestris', 'Capsella apetala', 'Capsella batavorum', 'Capsella bursa-pastoris alpestris', 'Capsella bursa-pastoris bifida', 'Capsella bursa-pastoris bursa-pastoris', 'Capsella bursa-pastoris eu-bursa', 'Capsella bursa-pastoris integrifolia', 'Capsella bursa-pastoris minor', 'Capsella bursa-pastoris minuta', 'Capsella bursa-pastoris occidentalis', 'Capsella concava', 'Capsella heegeri', 'Capsella hyrcana', 'Capsella lycia', 'Capsella mediterranea', 'Capsella patagonica', 'Capsella penarthae', 'Capsella polymorpha', 'Capsella rubella', 'Capsella ruderalis', 'Capsella stenocarpa', 'Capsella thomsonii', 'Capsella treviorum', 'Capsella turoniensis', 'Capsella viguieri', 'Iberis bursa-pastoris', 'Lepidium bursa-pastoris', 'Nasturtium bursa-pastoris', 'Roschiedia bursa-pastoris', 'Solmsiella heegeri', 'Thlaspi bursa-pastoris', 'Thlaspi bursa-pastoris integrifolium', 'Thlaspi burseta', 'Thlaspi hirtum']","['ncbi:3719', 'worms:993761', 'gbif:5375388', 'irmng:10588950']",Capsella bursa-pastoris
False,False,Cerastium fontanum,ICN,1.0,cerastium fontanum,[],False,False,Cerastium fontanum,625399,species,ott3.6draft1,"['Cerastium adsurgens', 'Cerastium holosteoides', 'Cerastium triviale', 'Cerastium triviale alpinum', 'Cerastium vulgatum']","['ncbi:230722', 'worms:458706', 'gbif:3085458', 'irmng:11088636']",Cerastium fontanum
False,False,Deroceras,ICZN,1.0,deroceras,[],False,False,Deroceras,518943,genus,ott3.6draft1,"['Agricolimax', 'Agriolimax', 'Agriolimox', 'Arctolimax', 'Chorolimax', 'Hydrolimax', 'Malino', 'Nipponolimax', 'Plathystimulus']","['worms:818211', 'ncbi:145609', 'gbif:5190776', 'irmng:1395476', 'irmng:1006903', 'irmng:1207850']",Deroceras
False,False,Veronica,ICN,1.0,veronica,[],False,False,Veronica,507032,genus,ott3.6draft1,"['Beccabunga', 'Besseya', 'Chionohebe', 'Cochlidiosperma', 'Derwentia', 'Detzneria', 'Diplophyllum', 'Hebe', 'Hebejeebie', 'Heliohebe', 'Heohebe', 'Leonohebe', 'Lunellia', 'Macrostemon', 'Odicardis', 'Oligospermum', 'Parahebe', 'Pseudolysimachion', 'Pygmea']","['ncbi:4173', 'worms:993896', 'gbif:3172047', 'irmng:1381293', 'irmng:1073912', 'irmng:1282418', 'irmng:1364735', 'irmng:1057809']",Veronica
False,False,life,undefined,1.0,life,[],False,False,life,805080,no rank,ott3.6draft1,['all'],"['silva:0', 'ncbi:1', 'gbif:0', 'irmng:0']",life
False,False,Euphorbia helioscopia,ICN,1.0,euphorbia helioscopia,[],False,False,Euphorbia helioscopia,46554,species,ott3.6draft1,"['Euphorbia dominii', 'Euphorbia helioscopioides', 'Euphorbion helioscopium', 'Galarhoeus helioscopius', 'Tithymalus dominii', 'Tithymalus helioscopioides', 'Tithymalus helioscopius', 'Tithymalus obovata', 'Tithymalus serratus']","['ncbi:154990', 'gbif:3066367', 'irmng:11111001']",Euphorbia helioscopia
False,False,Cynara,ICN,1.0,cynara,[],False,False,Cynara,991883,genus,ott3.6draft1,"['Arcyna', 'Bourgaea', 'Cynaropsis']","['ncbi:4264', 'gbif:3112344', 'irmng:1311602', 'irmng:1353035', 'irmng:1368560']",Cynara
False,False,Poa annua,ICN,1.0,poa annua,['sibling_higher'],False,False,Poa annua,510850,species,ott3.6draft1,"['Aira pumila', 'Catabrosa pumila', 'Festuca tenuiculmis', 'Ochlopoa annua', 'Ochlopoa annua notabilis', 'Ochlopoa annua pilantha', 'Ochlopoa annua raniglumis', 'Ochlopoa raniglumis', 'Poa aestivalis', 'Poa algida', 'Poa annua aquatica', 'Poa annua crispa', 'Poa annua erecta', 'Poa annua eriolepis', 'Poa annua notabilis', 'Poa annua ovalis', 'Poa annua pilantha', 'Poa annua purpurea', 'Poa annua raniglumis', 'Poa annua reptans', 'Poa annua rigidiuscula', 'Poa annua rubra', 'Poa annua sericea', 'Poa annua vivipara', 'Poa bipollicaris', 'Poa hansiana', 'Poa hohenackeri', 'Poa humilis', 'Poa meyenii', 'Poa ovalis', 'Poa portalii', 'Poa puberula', 'Poa trivialis hohenackeri', 'Poa variegata']","['ncbi:93036', 'worms:993880', 'gbif:2704179', 'irmng:10589082']",Poa annua
False,True,Poa annua,ICN,1.0,poa annua,['sibling_higher'],False,False,Poa infirma,254228,species,ott3.6draft1,"['Atropis thomsonii', 'Catabrosa thomsonii', 'Colpodium thomsonii', 'Eragrostis infirma', 'Glyceria thomsonii', 'Megastachya infirma', 'Ochlopoa infirma', 'Ochlopoa perinconspicua', 'Poa annua', 'Poa annua exilis', 'Poa annua laxiflora', 'Poa annua plicata', 'Poa annua remotiflora', 'Poa annua tommasinii', 'Poa exilis', 'Poa inconspicua', 'Poa perinconspicua', 'Poa remotiflora', 'Puccinellia thomsonii']","['ncbi:165094', 'gbif:2704194', 'irmng:10696026']",Poa infirma
False,False,Annelida,ICZN,1.0,annelida,[],False,False,Annelida,941620,phylum,ott3.6draft1,[],"['ncbi:6340', 'worms:882', 'gbif:42', 'irmng:234']",Annelida
False,False,Coleoptera,ICZN,1.0,coleoptera,['sibling_higher'],False,False,Coleoptera,865243,order,ott3.6draft1,"['Elateridopsidae', 'Eutactus', 'Ibidiomorphum', 'Macropterum', 'Natomelus', 'Traulotes']","['ncbi:7041', 'worms:118085', 'gbif:1470', 'irmng:10279']",Coleoptera
False,False,Pterygota,ICN,1.0,pterygota,[],False,False,Pterygota,793343,genus,ott3.6draft1,"['Basiloxylon', 'Tetradia']","['ncbi:300552', 'gbif:9502664', 'irmng:1291338']",Pterygota (genus in kingdom Archaeplastida)
False,False,Pterygota,ICZN,1.0,pterygota,[],False,False,Pterygota,1048707,subclass,ott3.6draft1,[],"['ncbi:7496', 'worms:151152']",Pterygota (subclass in Opisthokonta)
